test_season,n_train,n_test,logloss_raw,logloss_cal,accuracy_raw,accuracy_cal
1998,1683,380,1.0387003117593645,1.0557106588934408,0.4710526315789474,0.4421052631578947
1999,2063,380,1.0301482263066308,1.0512957701256738,0.49473684210526314,0.4421052631578947
2000,2443,380,1.0060444427789528,1.0005156620405444,0.5105263157894737,0.5052631578947369
2001,2823,380,1.0120551758581293,1.0137188896856033,0.4921052631578947,0.4842105263157895
2002,3203,380,1.0437928268418195,1.0283957119362936,0.48157894736842105,0.4868421052631579
2003,3583,380,1.0122488682788169,1.0144737173323166,0.49473684210526314,0.4868421052631579
2004,3963,380,1.026887396902144,1.0322863274603362,0.49736842105263157,0.4710526315789474
2005,4343,380,1.0221218560195233,1.0138130397481762,0.4789473684210526,0.48157894736842105
2006,4723,380,0.9692831925709533,0.9666959411863082,0.5236842105263158,0.5473684210526316
2007,5103,380,1.0072484177998848,1.00077257666684,0.5052631578947369,0.5157894736842106
2008,5483,380,0.9632776956994438,0.957943920189352,0.5421052631578948,0.5473684210526316
2009,5863,380,0.9921214603429467,0.9773892883510011,0.531578947368421,0.5473684210526316
2010,6243,380,0.9627539414691847,0.9649135202070649,0.5052631578947369,0.5421052631578948
2011,6623,380,1.0260029171646146,1.0231929762133352,0.4921052631578947,0.49473684210526314
2012,7003,380,1.0133169655893994,1.0197068377588465,0.49736842105263157,0.49473684210526314
2013,7383,380,0.9887333630135791,0.9973245576818245,0.49473684210526314,0.49473684210526314
2014,7763,380,0.9528247818369069,0.958793302420905,0.5657894736842105,0.5631578947368421
2015,8143,380,0.9972912475754185,0.9938839571806882,0.5263157894736842,0.5157894736842106
2016,8523,380,1.0465603116540614,1.0479461752713293,0.4605263157894737,0.45789473684210524
2017,8903,380,0.945538010328764,0.9493499895138173,0.5789473684210527,0.5657894736842105
2018,9283,380,0.9668066200032881,0.9683100910944027,0.5394736842105263,0.5394736842105263
2019,9663,380,0.930167461556458,0.9300338231159447,0.5842105263157895,0.5815789473684211
2020,10043,380,0.9943381931115786,0.9925507959077378,0.5026315789473684,0.5
2021,10423,380,1.047971898095249,1.0410492027197091,0.4789473684210526,0.4868421052631579
2022,10803,380,0.9710022220808578,0.9628639781901716,0.5421052631578948,0.5605263157894737
2023,11183,380,0.9746752248436029,0.9805530272834939,0.5421052631578948,0.5368421052631579
