test_season,n_train,n_test,logloss_raw,logloss_cal,accuracy_raw,accuracy_cal
1998,1683,380,1.0512295545415833,1.255978709513648,0.4763157894736842,0.4710526315789474
1999,2063,380,1.0363444400965711,1.0488621710599624,0.4789473684210526,0.46842105263157896
2000,2443,380,0.9977979555710649,1.2711885293877967,0.5,0.49473684210526314
2001,2823,380,1.0176025055611144,1.2885929176854896,0.4763157894736842,0.48947368421052634
2002,3203,380,1.0434284759819212,1.214660886253661,0.46578947368421053,0.46578947368421053
2003,3583,380,1.0161727643994831,1.1920720882813665,0.49473684210526314,0.49473684210526314
2004,3963,380,1.0201353643892326,1.1153758082251894,0.45526315789473687,0.4763157894736842
2005,4343,380,1.0216203720917891,1.1072253178570557,0.4789473684210526,0.5078947368421053
2006,4723,380,0.9793984452070137,0.9658109059555701,0.5526315789473685,0.5552631578947368
2007,5103,380,1.0125226543962664,1.091176773827871,0.4921052631578947,0.49736842105263157
2008,5483,380,0.9646291954821995,1.0408757247461504,0.5368421052631579,0.5552631578947368
2009,5863,380,0.9856581842905637,1.2388019669107733,0.55,0.5473684210526316
2010,6243,380,0.9647300893113475,1.0481492788687758,0.5263157894736842,0.5263157894736842
2011,6623,380,1.0290293256386873,1.0299668711296464,0.48157894736842105,0.4842105263157895
2012,7003,380,1.0196324955062257,1.2907454594454815,0.4842105263157895,0.4842105263157895
2013,7383,380,1.0022610553209852,1.094712888261593,0.5131578947368421,0.4921052631578947
2014,7763,380,0.9626054330816161,1.052906738030285,0.5684210526315789,0.5815789473684211
2015,8143,380,1.0143081291172733,1.011041571535004,0.5157894736842106,0.5052631578947369
2016,8523,380,1.0511732092181254,1.047837227499907,0.46842105263157896,0.4605263157894737
2017,8903,380,0.9413714717818463,0.9530978511402007,0.5789473684210527,0.5921052631578947
2018,9283,380,0.9784629065668783,0.976866138439826,0.5263157894736842,0.531578947368421
2019,9663,380,0.9443447872997449,1.1153537266545115,0.5684210526315789,0.5815789473684211
2020,10043,380,1.000195697906594,0.9920279078280391,0.5236842105263158,0.5157894736842106
2021,10423,380,1.0596731050994803,1.0456842309398222,0.46842105263157896,0.4921052631578947
2022,10803,380,0.989352511134431,0.9799200226212877,0.5447368421052632,0.5526315789473685
2023,11183,380,0.9809383948237647,0.9845627468163298,0.5289473684210526,0.5447368421052632
